Site,Cell_id,latitude,longitude,Azimuth,Beamwidth,Nbr1,Nbr2,Nbr3,Nbr4,Nbr5,Nbr6,Nbr7,Nbr8,Nbr9,Nbr10,Nbr11,Nbr12,Nbr13,Nbr14,Nbr15,Nbr16,Nbr17,Nbr18,Nbr19,Nbr20,Nbr21,Nbr22,Nbr23,Nbr24,Nbr25,Nbr26,Nbr27,Nbr28,Nbr29,Nbr30,Nbr31,Nbr32
node00003,node00003_2,32.92,-96.905,180,75,node00220_3,node00220_1,node00197_3,node00197_2,node00197_1,node00123_1,node00104_1,node00077_3,node00014_2,node00003_3,node00003_1,node00001_3,node00001_2,,,,,,,,,,,,,,,,,,,
node00003,node00003_3,32.92,-96.905,300,75,node00220_1,node00197_3,node00197_1,node00148_3,node00148_2,node00077_3,node00065_1,node00054_2,node00014_3,node00014_2,node00014_1,node00003_2,node00003_1,node00001_3,node00001_2,,,,,,,,,,,,,,,,,
node00004,node00004_1,32.75,-96.815,60,75,node00214_2,node00206_3,node00206_2,node00157_2,node00149_3,node00117_1,node00116_3,node00116_2,node00085_3,node00085_2,node00084_3,node00084_2,node00063_3,node00063_1,node00042_3,node00004_3,node00004_2,,,,,,,,,,,,,,,
node00004,node00004_2,32.75,-96.815,180,75,node00214_2,node00196_2,node00117_2,node00117_1,node00063_3,node00063_2,node00063_1,node00042_3,node00004_3,node00004_1,,,,,,,,,,,,,,,,,,,,,,
node00004,node00004_3,32.75,-96.815,300,75,node00214_3,node00214_2,node00214_1,node00196_2,node00157_2,node00121_1,node00117_3,node00117_1,node00114_2,node00085_3,node00085_2,node00084_3,node00084_2,node00063_3,node00006_2,node00004_2,node00004_1,,,,,,,,,,,,,,,
node00005,node00005_1,32.795,-96.79,60,75,node00213_3,node00213_2,node00213_1,node00211_1,node00203_1,node00195_3,node00195_2,node00189_3,node00189_2,node00177_3,node00177_2,node00129_2,node00129_1,node00127_3,node00127_1,node00099_3,node00090_2,node00083_3,node00052_3,node00052_2,node00052_1,node00051_3,node00005_3,node00005_2,,,,,,,,
node00005,node00005_2,32.795,-96.79,180,75,node00216_2,node00213_3,node00213_2,node00213_1,node00206_1,node00195_2,node00177_2,node00172_1,node00133_3,node00133_1,node00127_3,node00127_2,node00127_1,node00052_2,node00051_3,node00051_2,node00051_1,node00005_3,node00005_1,,,,,,,,,,,,,
node00005,node00005_3,32.795,-96.79,300,75,node00216_1,node00213_3,node00213_2,node00211_2,node00206_1,node00203_2,node00203_1,node00177_3,node00172_1,node00129_2,node00129_1,node00127_3,node00127_2,node00127_1,node00097_2,node00094_2,node00094_1,node00052_2,node00052_1,node00051_3,node00005_2,node00005_1,,,,,,,,,,
node00006,node00006_1,32.8,-96.82,60,75,node00224_3,node00224_2,node00224_1,node00211_3,node00211_1,node00203_3,node00203_2,node00203_1,node00182_3,node00182_2,node00182_1,node00143_1,node00129_3,node00129_2,node00120_3,node00120_2,node00120_1,node00103_2,node00052_3,node00052_1,node00029_1,node00006_3,node00006_2,,,,,,,,,
node00006,node00006_2,32.8,-96.82,180,75,node00224_3,node00211_3,node00211_2,node00211_1,node00203_3,node00203_2,node00182_2,node00129_2,node00120_3,node00120_2,node00120_1,node00097_3,node00097_1,node00064_2,node00064_1,node00044_3,node00044_2,node00044_1,node00029_3,node00029_2,node00029_1,node00006_3,node00006_1,node00004_3,,,,,,,,
node00006,node00006_3,32.8,-96.82,300,75,node00224_3,node00222_2,node00211_3,node00211_1,node00203_3,node00182_3,node00182_2,node00182_1,node00156_2,node00145_2,node00120_3,node00120_2,node00120_1,node00119_3,node00119_2,node00093_1,node00064_3,node00064_2,node00064_1,node00029_3,node00029_1,node00006_2,node00006_1,,,,,,,,,
node00007,node00007_1,32.85,-96.805,60,75,node00204_1,node00179_1,node00169_3,node00169_2,node00169_1,node00151_3,node00098_3,node00098_2,node00098_1,node00089_1,node00057_2,node00057_1,node00045_3,node00045_1,node00021_3,node00021_2,node00021_1,node00013_1,node00007_3,node00007_2,node00002_1,,,,,,,,,,,
node00007,node00007_2,32.85,-96.805,180,75,node00204_2,node00204_1,node00179_3,node00179_1,node00169_3,node00169_2,node00151_3,node00145_1,node00126_2,node00126_1,node00098_2,node00090_1,node00089_3,node00089_2,node00057_2,node00045_3,node00021_2,node00013_3,node00007_3,node00007_1,node00002_2,node00002_1,,,,,,,,,,
node00007,node00007_3,32.85,-96.805,300,75,node00204_3,node00204_1,node00169_3,node00151_3,node00098_3,node00098_2,node00057_3,node00057_2,node00057_1,node00021_3,node00021_2,node00021_1,node00009_3,node00009_2,node00009_1,node00007_2,node00007_1,node00002_3,node00002_2,node00002_1,,,,,,,,,,,,
node00008,node00008_1,32.83,-96.915,60,75,node00232_3,node00232_2,node00231_3,node00221_3,node00201_3,node00201_2,node00201_1,node00184_3,node00158_3,node00158_2,node00158_1,node00146_1,node00112_2,node00076_3,node00076_1,node00041_1,node00037_3,node00008_3,node00008_2,,,,,,,,,,,,,
node00008,node00008_2,32.83,-96.915,180,75,node00231_3,node00231_2,node00231_1,node00212_1,node00201_3,node00158_2,node00146_3,node00146_2,node00146_1,node00137_2,node00137_1,node00076_3,node00058_3,node00046_3,node00046_2,node00041_3,node00041_1,node00027_3,node00008_3,node00008_1,,,,,,,,,,,,
node00008,node00008_3,32.83,-96.915,300,75,node00231_3,node00204_3,node00201_3,node00197_2,node00158_3,node00158_2,node00146_3,node00137_1,node00112_3,node00075_2,node00008_2,node00008_1,,,,,,,,,,,,,,,,,,,,
node00009,node00009_1,32.86,-96.84,60,75,node00188_1,node00185_2,node00184_1,node00141_3,node00141_2,node00128_2,node00128_1,node00057_3,node00057_2,node00057_1,node00021_3,node00021_1,node00009_3,node00009_2,node00007_3,node00002_3,node00002_1,,,,,,,,,,,,,,,
node00009,node00009_2,32.86,-96.84,180,75,node00232_1,node00204_3,node00190_3,node00190_1,node00188_3,node00188_2,node00188_1,node00185_2,node00184_1,node00167_3,node00167_1,node00128_2,node00057_3,node00057_2,node00037_1,node00021_3,node00009_3,node00009_1,node00007_3,node00002_3,node00002_2,,,,,,,,,,,
node00009,node00009_3,32.86,-96.84,300,75,node00232_1,node00188_1,node00185_3,node00185_2,node00184_1,node00141_2,node00128_3,node00128_2,node00128_1,node00107_2,node00069_1,node00057_3,node00057_1,node00009_2,node00009_1,node00007_3,node00002_3,,,,,,,,,,,,,,,
node00010,node00010_1,32.855,-96.75,60,75,node00225_2,node00152_3,node00152_2,node00151_3,node00151_2,node00151_1,node00139_3,node00139_2,node00100_3,node00100_2,node00061_3,node00061_2,node00045_2,node00045_1,node00040_3,node00036_2,node00036_1,node00017_1,node00011_3,node00011_2,node00011_1,node00010_3,node00010_2,,,,,,,,,
node00010,node00010_2,32.855,-96.75,180,75,node00164_3,node00164_1,node00152_3,node00152_2,node00151_2,node00142_3,node00139_3,node00139_2,node00102_3,node00089_1,node00049_3,node00045_2,node00045_1,node00032_1,node00017_2,node00017_1,node00011_3,node00011_2,node00011_1,node00010_3,node00010_1,,,,,,,,,,,
node00010,node00010_3,32.855,-96.75,300,75,node00169_1,node00164_3,node00164_1,node00152_2,node00151_3,node00151_2,node00151_1,node00142_3,node00089_3,node00089_1,node00045_3,node00045_2,node00045_1,node00036_2,node00036_1,node00017_3,node00017_2,node00017_1,node00011_3,node00011_2,node00010_2,node00010_1,,,,,,,,,,
node00011,node00011_1,32.855,-96.735,60,75,node00225_2,node00164_1,node00152_2,node00152_1,node00151_2,node00142_3,node00142_1,node00139_3,node00139_2,node00139_1,node00102_3,node00100_2,node00099_1,node00061_2,node00049_3,node00049_2,node00047_3,node00047_2,node00045_2,node00040_2,node00017_2,node00017_1,node00011_3,node00011_2,node00010_2,node00010_1,,,,,,
node00011,node00011_2,32.855,-96.735,180,75,node00164_3,node00164_1,node00151_2,node00142_3,node00142_1,node00139_3,node00139_2,node00102_3,node00099_1,node00089_1,node00049_3,node00045_2,node00032_1,node00017_2,node00017_1,node00011_3,node00011_1,node00010_3,node00010_2,node00010_1,,,,,,,,,,,,
node00011,node00011_3,32.855,-96.735,300,75,node00152_3,node00152_2,node00151_2,node00151_1,node00139_3,node00089_1,node00061_3,node00061_2,node00049_3,node00045_2,node00045_1,node00036_2,node00036_1,node00017_2,node00017_1,node00011_2,node00011_1,node00010_3,node00010_2,node00010_1,,,,,,,,,,,,
node00012,node00012_1,32.91,-96.735,60,75,node00228_2,node00199_3,node00199_2,node00175_3,node00175_2,node00174_3,node00174_2,node00111_3,node00100_1,node00082_3,node00082_2,node00082_1,node00055_3,node00055_2,node00039_3,node00039_2,node00039_1,node00034_2,node00012_3,node00012_2,,,,,,,,,,,,
node00012,node00012_2,32.91,-96.735,180,75,node00225_3,node00225_2,node00225_1,node00199_2,node00175_2,node00174_3,node00174_2,node00152_3,node00152_1,node00113_2,node00111_3,node00111_2,node00111_1,node00100_3,node00100_2,node00100_1,node00091_3,node00047_3,node00047_1,node00040_3,node00039_3,node00039_2,node00039_1,node00012_3,node00012_1,,,,,,,
node00012,node00012_3,32.91,-96.735,300,75,node00228_2,node00225_3,node00210_2,node00199_3,node00199_2,node00175_2,node00113_2,node00113_1,node00111_3,node00100_3,node00100_2,node00100_1,node00082_3,node00082_2,node00039_3,node00039_2,node00039_1,node00012_2,node00012_1,,,,,,,,,,,,,
node00013,node00013_1,32.845,-96.785,60,75,node00169_1,node00151_3,node00098_2,node00089_3,node00045_3,node00045_1,node00021_2,node00013_3,node00013_2,node00007_1,,,,,,,,,,,,,,,,,,,,,,
node00013,node00013_2,32.845,-96.785,180,75,node00179_1,node00169_2,node00169_1,node00089_3,node00083_1,node00045_3,node00032_3,node00017_3,node00017_1,node00013_3,node00013_1,,,,,,,,,,,,,,,,,,,,,
node00013,node00013_3,32.845,-96.785,300,75,node00204_1,node00179_1,node00169_2,node00169_1,node00126_2,node00126_1,node00089_3,node00013_2,node00013_1,node00007_2,,,,,,,,,,,,,,,,,,,,,,
node00014,node00014_1,32.92,-96.925,60,75,node00237_3,node00215_2,node00197_3,node00148_3,node00148_2,node00148_1,node00065_1,node00054_3,node00054_2,node00031_3,node00014_3,node00014_2,node00003_3,node00001_3,node00001_1,,,,,,,,,,,,,,,,,
node00014,node00014_2,32.92,-96.925,180,75,node00220_3,node00220_1,node00197_3,node00197_2,node00197_1,node00148_3,node00148_2,node00123_3,node00077_3,node00065_3,node00065_2,node00065_1,node00014_3,node00014_1,node00003_3,node00003_2,node00001_3,,,,,,,,,,,,,,,
node00014,node00014_3,32.92,-96.925,300,75,node00233_3,node00233_1,node00220_3,node00215_3,node00215_2,node00197_3,node00148_3,node00065_3,node00065_2,node00065_1,node00054_3,node00031_3,node00031_2,node00014_2,node00014_1,node00003_3,node00001_3,node00001_1,,,,,,,,,,,,,,
node00015,node00015_1,32.96,-96.825,60,75,node00173_3,node00159_3,node00159_1,node00153_1,node00134_2,node00134_1,node00115_3,node00115_2,node00115_1,node00073_3,node00023_1,node00015_3,node00015_2,,,,,,,,,,,,,,,,,,,
node00015,node00015_2,32.96,-96.825,180,75,node00226_3,node00173_3,node00173_1,node00161_1,node00159_3,node00159_1,node00115_2,node00073_3,node00073_2,node00073_1,node00023_1,node00015_3,node00015_1,,,,,,,,,,,,,,,,,,,
node00015,node00015_3,32.96,-96.825,300,75,node00219_1,node00173_3,node00161_1,node00159_3,node00159_2,node00159_1,node00153_3,node00153_2,node00153_1,node00134_2,node00115_3,node00115_2,node00073_3,node00073_1,node00023_1,node00015_2,node00015_1,,,,,,,,,,,,,,,
node00016,node00016_1,32.95,-96.86,60,75,node00219_3,node00153_3,node00147_1,node00134_3,node00134_2,node00043_2,node00043_1,node00016_3,node00016_2,,,,,,,,,,,,,,,,,,,,,,,
node00016,node00016_2,32.95,-96.86,180,75,node00219_3,node00219_1,node00153_3,node00153_1,node00136_1,node00134_2,node00131_1,node00043_1,node00023_3,node00016_3,node00016_1,,,,,,,,,,,,,,,,,,,,,
node00016,node00016_3,32.95,-96.86,300,75,node00219_3,node00153_3,node00147_2,node00147_1,node00136_3,node00136_1,node00134_2,node00131_1,node00077_1,node00054_2,node00048_3,node00043_3,node00043_2,node00043_1,node00031_3,node00031_1,node00016_2,node00016_1,,,,,,,,,,,,,,
node00017,node00017_1,32.835,-96.76,60,75,node00179_1,node00169_1,node00164_3,node00151_2,node00151_1,node00142_3,node00139_3,node00139_2,node00102_3,node00089_2,node00089_1,node00049_3,node00045_3,node00045_2,node00045_1,node00032_3,node00032_1,node00017_3,node00017_2,node00013_2,node00011_3,node00011_2,node00011_1,node00010_3,node00010_2,node00010_1,,,,,,
node00017,node00017_2,32.835,-96.76,180,75,node00207_1,node00179_2,node00179_1,node00164_3,node00164_2,node00164_1,node00142_3,node00142_2,node00102_3,node00099_1,node00089_2,node00089_1,node00083_1,node00066_3,node00045_2,node00032_3,node00032_2,node00032_1,node00017_3,node00017_1,node00011_3,node00011_2,node00011_1,node00010_3,node00010_2,,,,,,,
node00017,node00017_3,32.835,-96.76,300,75,node00189_1,node00179_3,node00179_2,node00179_1,node00169_2,node00164_3,node00145_1,node00089_3,node00089_2,node00089_1,node00083_1,node00045_2,node00032_3,node00032_2,node00032_1,node00017_2,node00017_1,node00013_2,node00010_3,,,,,,,,,,,,,
node00018,node00018_1,32.915,-96.87,60,75,node00136_3,node00131_3,node00118_3,node00104_2,node00104_1,node00092_1,node00077_2,node00077_1,node00048_3,node00048_2,node00048_1,node00018_3,node00018_2,,,,,,,,,,,,,,,,,,,
node00018,node00018_2,32.915,-96.87,180,75,node00186_3,node00186_1,node00131_3,node00112_1,node00104_2,node00104_1,node00092_3,node00092_1,node00048_3,node00048_2,node00048_1,node00018_3,node00018_1,,,,,,,,,,,,,,,,,,,
node00018,node00018_3,32.915,-96.87,300,75,node00220_2,node00197_1,node00136_3,node00131_3,node00104_3,node00104_2,node00104_1,node00092_3,node00077_2,node00048_3,node00048_1,node00018_2,node00018_1,,,,,,,,,,,,,,,,,,,
node00019,node00019_1,32.74,-96.685,60,75,node00192_2,node00192_1,node00176_1,node00166_3,node00166_2,node00166_1,node00144_3,node00101_3,node00074_2,node00053_3,node00053_2,node00050_3,node00050_2,node00019_3,node00019_2,node00000_2,,,,,,,,,,,,,,,,
node00019,node00019_2,32.74,-96.685,180,75,node00176_2,node00176_1,node00166_3,node00166_2,node00144_3,node00042_2,node00042_1,node00019_3,node00019_1,,,,,,,,,,,,,,,,,,,,,,,
node00019,node00019_3,32.74,-96.685,300,75,node00192_3,node00192_2,node00192_1,node00176_3,node00176_2,node00176_1,node00166_3,node00166_1,node00133_2,node00053_3,node00053_2,node00042_2,node00042_1,node00019_2,node00019_1,,,,,,,,,,,,,,,,,
node00020,node00020_1,32.925,-96.805,60,75,node00198_2,node00181_1,node00173_2,node00161_2,node00122_3,node00106_3,node00106_2,node00106_1,node00105_3,node00105_2,node00062_2,node00062_1,node00020_3,node00020_2,,,,,,,,,,,,,,,,,,
node00020,node00020_2,32.925,-96.805,180,75,node00228_3,node00218_3,node00218_2,node00218_1,node00199_3,node00168_1,node00132_2,node00132_1,node00122_3,node00122_2,node00122_1,node00106_2,node00106_1,node00105_2,node00080_3,node00080_2,node00080_1,node00059_3,node00059_1,node00026_2,node00026_1,node00020_3,node00020_1,,,,,,,,,
node00020,node00020_3,32.925,-96.805,300,75,node00198_3,node00198_2,node00181_2,node00181_1,node00168_1,node00161_2,node00132_1,node00131_2,node00122_3,node00118_2,node00107_1,node00106_3,node00106_2,node00096_2,node00026_2,node00026_1,node00020_2,node00020_1,,,,,,,,,,,,,,
node00021,node00021_1,32.86,-96.81,60,75,node00185_2,node00169_3,node00141_3,node00141_2,node00132_2,node00108_3,node00108_2,node00098_3,node00098_2,node00098_1,node00057_3,node00057_2,node00057_1,node00021_3,node00021_2,node00009_1,node00007_3,node00007_1,node00002_1,,,,,,,,,,,,,
node00021,node00021_2,32.86,-96.81,180,75,node00204_1,node00169_3,node00169_2,node00169_1,node00151_3,node00141_2,node00108_3,node00108_2,node00098_3,node00098_2,node00098_1,node00089_3,node00057_2,node00057_1,node00045_3,node00045_1,node00021_3,node00021_1,node00013_1,node00007_3,node00007_2,node00007_1,node00002_1,,,,,,,,,
node00021,node00021_3,32.86,-96.81,300,75,node00204_3,node00204_1,node00169_3,node00169_1,node00151_3,node00141_2,node00128_2,node00108_3,node00098_3,node00057_3,node00057_2,node00057_1,node00021_2,node00021_1,node00009_2,node00009_1,node00007_3,node00007_1,node00002_3,node00002_2,node00002_1,,,,,,,,,,,
node00022,node00022_1,32.775,-96.765,60,75,node00149_2,node00149_1,node00133_3,node00133_2,node00124_3,node00124_1,node00051_2,node00051_1,node00022_3,node00022_2,,,,,,,,,,,,,,,,,,,,,,
node00022,node00022_2,32.775,-96.765,180,75,node00149_2,node00149_1,node00133_3,node00133_2,node00124_3,node00124_1,node00051_2,node00051_1,node00022_3,node00022_1,,,,,,,,,,,,,,,,,,,,,,
node00022,node00022_3,32.775,-96.765,300,75,node00149_2,node00149_1,node00133_3,node00133_2,node00124_3,node00124_1,node00051_2,node00051_1,node00022_2,node00022_1,,,,,,,,,,,,,,,,,,,,,,
node00023,node00023_1,32.94,-96.825,60,75,node00219_1,node00173_3,node00161_3,node00161_2,node00161_1,node00159_3,node00159_2,node00159_1,node00153_3,node00153_2,node00153_1,node00134_1,node00115_3,node00115_2,node00073_3,node00062_3,node00023_3,node00023_2,node00015_3,node00015_2,node00015_1,,,,,,,,,,,
node00023,node00023_2,32.94,-96.825,180,75,node00219_2,node00198_1,node00161_3,node00161_2,node00159_2,node00136_2,node00135_2,node00135_1,node00118_1,node00105_3,node00096_3,node00096_1,node00062_3,node00062_2,node00062_1,node00023_3,node00023_1,,,,,,,,,,,,,,,
node00023,node00023_3,32.94,-96.825,300,75,node00219_3,node00219_2,node00219_1,node00161_3,node00159_2,node00153_3,node00153_2,node00147_2,node00135_3,node00135_2,node00135_1,node00134_2,node00131_1,node00118_1,node00096_3,node00096_1,node00062_3,node00023_2,node00023_1,node00016_2,,,,,,,,,,,,
node00024,node00024_1,32.805,-96.67,60,75,node00236_3,node00235_1,node00217_3,node00217_2,node00171_3,node00171_1,node00088_3,node00088_2,node00066_3,node00066_2,node00066_1,node00024_3,node00024_2,node00000_2,node00000_1,,,,,,,,,,,,,,,,,
node00024,node00024_2,32.805,-96.67,180,75,node00236_3,node00236_2,node00217_3,node00217_2,node00171_3,node00171_2,node00171_1,node00166_1,node00154_3,node00154_2,node00150_3,node00150_1,node00088_2,node00074_3,node00074_1,node00066_2,node00053_1,node00024_3,node00024_1,node00000_2,node00000_1,,,,,,,,,,,
node00024,node00024_3,32.805,-96.67,300,75,node00235_3,node00235_2,node00235_1,node00166_1,node00154_3,node00142_2,node00074_3,node00074_1,node00066_3,node00066_2,node00053_1,node00024_2,node00024_1,node00000_3,node00000_2,node00000_1,,,,,,,,,,,,,,,,
node00025,node00025_1,32.955,-96.77,60,75,node00226_2,node00226_1,node00163_1,node00130_3,node00130_2,node00130_1,node00055_3,node00034_3,node00025_3,node00025_2,,,,,,,,,,,,,,,,,,,,,,
node00025,node00025_2,32.955,-96.77,180,75,node00226_2,node00226_1,node00199_1,node00173_1,node00163_3,node00163_2,node00163_1,node00130_3,node00130_2,node00105_1,node00062_1,node00059_1,node00055_3,node00034_3,node00025_3,node00025_1,,,,,,,,,,,,,,,,
node00025,node00025_3,32.955,-96.77,300,75,node00226_3,node00226_2,node00226_1,node00173_1,node00163_3,node00130_3,node00105_1,node00073_2,node00062_1,node00025_2,node00025_1,,,,,,,,,,,,,,,,,,,,,
node00026,node00026_1,32.915,-96.82,60,75,node00181_2,node00135_2,node00132_1,node00131_2,node00122_3,node00122_2,node00118_3,node00118_2,node00107_1,node00106_2,node00096_2,node00026_3,node00026_2,node00020_3,node00020_2,,,,,,,,,,,,,,,,,
node00026,node00026_2,32.915,-96.82,180,75,node00168_3,node00141_3,node00132_3,node00132_1,node00122_3,node00122_2,node00118_2,node00107_1,node00080_3,node00026_3,node00026_1,node00020_3,node00020_2,,,,,,,,,,,,,,,,,,,
node00026,node00026_3,32.915,-96.82,300,75,node00186_1,node00185_3,node00185_1,node00181_2,node00168_3,node00141_3,node00132_3,node00132_1,node00131_3,node00131_2,node00118_3,node00118_2,node00107_3,node00107_2,node00107_1,node00092_2,node00080_3,node00048_1,node00026_2,node00026_1,,,,,,,,,,,,
node00027,node00027_1,32.815,-96.87,60,75,node00231_2,node00231_1,node00222_3,node00222_1,node00201_3,node00201_2,node00201_1,node00183_3,node00158_2,node00158_1,node00156_3,node00156_2,node00076_3,node00076_2,node00076_1,node00041_1,node00037_2,node00027_3,node00027_2,,,,,,,,,,,,,
node00027,node00027_2,32.815,-96.87,180,75,node00231_1,node00222_3,node00222_2,node00222_1,node00201_2,node00156_3,node00156_2,node00146_1,node00143_3,node00143_1,node00093_1,node00076_2,node00064_3,node00064_1,node00058_1,node00041_2,node00037_2,node00027_3,node00027_1,,,,,,,,,,,,,
node00027,node00027_3,32.815,-96.87,300,75,node00231_3,node00231_2,node00231_1,node00222_3,node00201_2,node00158_2,node00146_2,node00146_1,node00143_1,node00093_1,node00076_3,node00076_2,node00064_3,node00058_3,node00058_1,node00046_1,node00041_3,node00041_2,node00041_1,node00037_3,node00027_2,node00027_1,node00008_2,,,,,,,,,
node00028,node00028_1,32.745,-96.89,60,75,node00222_3,node00200_3,node00200_2,node00200_1,node00170_1,node00121_3,node00093_3,node00093_2,node00093_1,node00072_1,node00064_3,node00060_3,node00060_1,node00058_2,node00028_3,node00028_2,,,,,,,,,,,,,,,,
node00028,node00028_2,32.745,-96.89,180,75,node00208_3,node00178_1,node00072_2,node00072_1,node00060_3,node00028_3,node00028_1,,,,,,,,,,,,,,,,,,,,,,,,,
node00028,node00028_3,32.745,-96.89,300,75,node00212_2,node00212_1,node00200_3,node00178_3,node00178_1,node00170_3,node00170_2,node00170_1,node00160_3,node00160_2,node00160_1,node00093_3,node00072_3,node00072_1,node00058_3,node00058_2,node00046_2,node00028_2,node00028_1,,,,,,,,,,,,,
node00029,node00029_1,32.79,-96.825,60,75,node00224_3,node00211_3,node00211_2,node00211_1,node00203_3,node00203_2,node00120_3,node00120_2,node00120_1,node00064_2,node00064_1,node00044_3,node00044_2,node00044_1,node00029_3,node00029_2,node00006_3,node00006_2,node00006_1,,,,,,,,,,,,,
node00029,node00029_2,32.79,-96.825,180,75,node00216_3,node00211_3,node00206_1,node00203_2,node00157_3,node00157_2,node00157_1,node00143_2,node00143_1,node00121_1,node00120_2,node00114_3,node00114_2,node00114_1,node00097_3,node00097_1,node00084_1,node00064_3,node00064_2,node00064_1,node00044_3,node00044_2,node00044_1,node00029_3,node00029_1,node00006_2,,,,,,
node00029,node00029_3,32.79,-96.825,300,75,node00222_2,node00211_3,node00200_1,node00143_2,node00143_1,node00120_3,node00120_2,node00120_1,node00119_2,node00114_3,node00114_1,node00097_1,node00064_3,node00064_2,node00064_1,node00052_3,node00044_3,node00044_2,node00029_2,node00029_1,node00006_3,node00006_2,,,,,,,,,,
node00030,node00030_1,32.875,-96.67,60,75,node00234_3,node00234_2,node00234_1,node00205_3,node00205_2,node00205_1,node00125_2,node00125_1,node00095_3,node00091_2,node00087_3,node00087_2,node00081_3,node00081_1,node00078_2,node00068_2,node00067_3,node00030_3,node00030_2,,,,,,,,,,,,,
node00030,node00030_2,32.875,-96.67,180,75,node00234_3,node00234_2,node00205_3,node00205_2,node00205_1,node00125_3,node00125_2,node00102_1,node00095_3,node00087_3,node00087_2,node00081_3,node00081_1,node00067_3,node00049_1,node00047_2,node00047_1,node00030_3,node00030_1,,,,,,,,,,,,,
node00030,node00030_3,32.875,-96.67,300,75,node00234_3,node00234_2,node00205_3,node00205_1,node00139_1,node00125_3,node00125_2,node00125_1,node00102_1,node00091_2,node00078_2,node00049_1,node00047_2,node00047_1,node00030_2,node00030_1,,,,,,,,,,,,,,,,
node00031,node00031_1,32.935,-96.89,60,75,node00219_3,node00147_2,node00147_1,node00136_3,node00136_1,node00134_2,node00077_1,node00054_2,node00054_1,node00048_3,node00043_2,node00031_3,node00031_2,node00016_3,,,,,,,,,,,,,,,,,,
node00031,node00031_2,32.935,-96.89,180,75,node00220_1,node00197_1,node00147_2,node00136_3,node00077_3,node00077_2,node00077_1,node00054_2,node00048_3,node00043_2,node00031_3,node00031_1,node00014_3,node00003_1,node00001_2,node00001_1,,,,,,,,,,,,,,,,
